
Algorithm                     avg_cap   avg_%util std_%util %reject   1stRej    time      topo      traffic   n_flows
xebel_mcp 127.0.0.1 2369      10000.0   3.11      0.97      30.4      17        52.25     links     flowset   500  

Algorithm                     avg_cap   avg_%util std_%util %reject   1stRej    time      topo      traffic   n_flows
simple_mcp                    10000.0   2.93      1.01      29.2      17        9.23      links     flowset   500  

Algorithm                     avg_cap   avg_%util std_%util %reject   1stRej    time      topo      traffic   n_flows
xebel_mcp 127.0.0.1 2369      10000.0   3.15      0.98      29.6      17        52.18     links     flowset   500  

Algorithm                     avg_cap   avg_%util std_%util %reject   1stRej    time      topo      traffic   n_flows
simple_mcp                    10000.0   3.17      0.98      27.8      7         9.49      links     flowset   500  
net.traffic.name:flowset, 
xebel-eval, descr:sag, routing_method:simple_mcp, avg_cap:10000.0, avg_util_rate:0.35, std_util_rate:0.35, avg_util_delay:13.65, std_util_delay:12.78, avg_flow_delay:4.0, avg_flow_rate:30, rej_rate:20.0, first_rej:8, elapsed:1.3, n_flows:50, net.topology.name:links, net.traffic.name:flowset, 
2024-04-09 14:04:43.230285, descr:simple, routing_method:simple_mcp, avg_cap:20250.0, avg_util_rate:2.2, std_util_rate:0.64, avg_util_delay:430.23, std_util_delay:199.34, avg_flow_delay:10.0, avg_flow_rate:34, rej_rate:45.4, first_rej:3, elapsed:12.23, n_flows:1000, net.topology.name:links, net.traffic.name:1000, 
2024-04-09 14:13:20.660657, descr:xebel-0.85-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:101250.0, avg_util_rate:0.62, std_util_rate:0.1, avg_util_delay:1144.69, std_util_delay:840.26, avg_flow_delay:18.0, avg_flow_rate:10, rej_rate:80.66, first_rej:0, elapsed:510.39, n_flows:5000, net.topology.name:links, net.traffic.name:5000, 
2024-04-09 14:21:57.223653, descr:xebel-1.0-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:101250.0, avg_util_rate:0.63, std_util_rate:0.12, avg_util_delay:1215.62, std_util_delay:1215.56, avg_flow_delay:18.0, avg_flow_rate:10, rej_rate:80.72, first_rej:10, elapsed:509.82, n_flows:5000, net.topology.name:links, net.traffic.name:5000, 
2024-04-09 14:30:34.976857, descr:xebel-1.0-23.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:101250.0, avg_util_rate:0.62, std_util_rate:0.11, avg_util_delay:1154.9, std_util_delay:882.56, avg_flow_delay:18.0, avg_flow_rate:10, rej_rate:80.72, first_rej:10, elapsed:511.01, n_flows:5000, net.topology.name:links, net.traffic.name:5000, 
2024-04-09 14:30:55.904518, descr:simple, routing_method:simple_mcp, avg_cap:101250.0, avg_util_rate:0.62, std_util_rate:0.09, avg_util_delay:1011.29, std_util_delay:230.73, avg_flow_delay:18.0, avg_flow_rate:10, rej_rate:80.06, first_rej:9, elapsed:20.09, n_flows:5000, net.topology.name:links, net.traffic.name:5000, 
2024-04-09 14:48:00.330322, descr:xebel-0.85-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:202500.0, avg_util_rate:0.35, std_util_rate:0.05, avg_util_delay:1630.13, std_util_delay:1864.77, avg_flow_delay:18.0, avg_flow_rate:49, rej_rate:88.39, first_rej:8, elapsed:1017.07, n_flows:10000, net.topology.name:links, net.traffic.name:10000, 
2024-04-09 15:05:03.177079, descr:xebel-1.0-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:202500.0, avg_util_rate:0.35, std_util_rate:0.05, avg_util_delay:1660.62, std_util_delay:1968.51, avg_flow_delay:18.0, avg_flow_rate:49, rej_rate:88.29, first_rej:8, elapsed:1016.28, n_flows:10000, net.topology.name:links, net.traffic.name:10000, 
2024-04-09 15:22:06.362856, descr:xebel-1.0-23.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:202500.0, avg_util_rate:0.35, std_util_rate:0.05, avg_util_delay:1726.29, std_util_delay:2491.47, avg_flow_delay:18.0, avg_flow_rate:49, rej_rate:88.31, first_rej:8, elapsed:1016.58, n_flows:10000, net.topology.name:links, net.traffic.name:10000, 
2024-04-09 15:22:33.382175, descr:simple, routing_method:simple_mcp, avg_cap:202500.0, avg_util_rate:0.34, std_util_rate:0.04, avg_util_delay:1323.7, std_util_delay:247.61, avg_flow_delay:18.0, avg_flow_rate:49, rej_rate:88.05, first_rej:8, elapsed:26.38, n_flows:10000, net.topology.name:links, net.traffic.name:10000, 
2024-04-09 16:47:07.246721, descr:xebel-0.85-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:1012500.0, avg_util_rate:0.08, std_util_rate:0.04, avg_util_delay:323004.48, std_util_delay:1960272.99, avg_flow_delay:18.0, avg_flow_rate:5, rej_rate:97.078, first_rej:21, elapsed:5065.75, n_flows:50000, net.topology.name:links, net.traffic.name:50000, 
2024-04-09 18:11:40.897735, descr:xebel-1.0-5.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:1012500.0, avg_util_rate:0.08, std_util_rate:0.04, avg_util_delay:390464.24, std_util_delay:2371995.46, avg_flow_delay:18.0, avg_flow_rate:5, rej_rate:97.058, first_rej:26, elapsed:5066.72, n_flows:50000, net.topology.name:links, net.traffic.name:50000, 
2024-04-09 19:36:13.325989, descr:xebel-1.0-23.0, routing_method:xebel_mcp 127.0.0.1 2369, avg_cap:1012500.0, avg_util_rate:0.08, std_util_rate:0.04, avg_util_delay:447676.52, std_util_delay:2705874.65, avg_flow_delay:18.0, avg_flow_rate:5, rej_rate:97.048, first_rej:10, elapsed:5065.19, n_flows:50000, net.topology.name:links, net.traffic.name:50000, 
2024-04-09 19:37:29.929493, descr:simple, routing_method:simple_mcp, avg_cap:1012500.0, avg_util_rate:0.08, std_util_rate:0.01, avg_util_delay:1819.43, std_util_delay:0.0, avg_flow_delay:18.0, avg_flow_rate:5, rej_rate:97.124, first_rej:10, elapsed:75.49, n_flows:50000, net.topology.name:links, net.traffic.name:50000, 
